"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"161";"2017-09-30 23:06:08";"Вставлена";"Вождение";"1:40:39";"0:00:00";"0:00:00";"0:00:00";"1:40:39";"Водитель";"Один водитель";"116 км";
"162";"2017-10-01 00:46:47";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"163";"2017-10-01 00:47:29";"Вставлена";"Вождение";"0:14:01";"0:00:00";"0:00:00";"0:00:00";"0:14:01";"Водитель";"Один водитель";"2.82 км";
"164";"2017-10-01 01:01:30";"Вставлена";"Работа";"0:00:00";"0:00:53";"0:00:00";"0:00:00";"0:00:53";"Водитель";"Один водитель";"0.00 км";
"165";"2017-10-01 01:02:23";"Вставлена";"Вождение";"1:40:58";"0:00:00";"0:00:00";"0:00:00";"1:40:58";"Водитель";"Один водитель";"116 км";
"166";"2017-10-01 02:43:21";"Вставлена";"Работа";"0:00:00";"0:00:27";"0:00:00";"0:00:00";"0:00:27";"Водитель";"Один водитель";"0.00 км";
"167";"2017-10-01 02:43:48";"Вставлена";"Вождение";"0:14:16";"0:00:00";"0:00:00";"0:00:00";"0:14:16";"Водитель";"Один водитель";"2.82 км";
"168";"2017-10-01 02:58:04";"Вставлена";"Работа";"0:00:00";"0:00:34";"0:00:00";"0:00:00";"0:00:34";"Водитель";"Один водитель";"0.00 км";
"169";"2017-10-01 02:58:38";"Вставлена";"Вождение";"1:41:18";"0:00:00";"0:00:00";"0:00:00";"1:41:18";"Водитель";"Один водитель";"116 км";
"170";"2017-10-01 04:39:56";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"171";"2017-10-01 04:42:02";"Вставлена";"Вождение";"0:12:37";"0:00:00";"0:00:00";"0:00:00";"0:12:37";"Водитель";"Один водитель";"2.82 км";
"172";"2017-10-01 04:54:39";"Вставлена";"Работа";"0:00:00";"0:00:06";"0:00:00";"0:00:00";"0:00:06";"Водитель";"Один водитель";"0.00 км";
"173";"2017-10-01 04:54:45";"Вставлена";"Вождение";"1:40:43";"0:00:00";"0:00:00";"0:00:00";"1:40:43";"Водитель";"Один водитель";"116 км";
"174";"2017-10-01 06:35:28";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"175";"2017-10-01 06:36:10";"Вставлена";"Вождение";"0:14:00";"0:00:00";"0:00:00";"0:00:00";"0:14:00";"Водитель";"Один водитель";"2.82 км";
"176";"2017-10-01 06:50:10";"Вставлена";"Работа";"0:00:00";"0:00:52";"0:00:00";"0:00:00";"0:00:52";"Водитель";"Один водитель";"0.00 км";
"177";"2017-10-01 06:51:02";"Вставлена";"Вождение";"1:41:07";"0:00:00";"0:00:00";"0:00:00";"1:41:07";"Водитель";"Один водитель";"116 км";
"178";"2017-10-01 08:32:09";"Вставлена";"Работа";"0:00:00";"0:00:15";"0:00:00";"0:00:00";"0:00:15";"Водитель";"Один водитель";"0.00 км";
"179";"2017-10-01 08:32:24";"Вставлена";"Вождение";"0:14:28";"0:00:00";"0:00:00";"0:00:00";"0:14:28";"Водитель";"Один водитель";"2.82 км";
"180";"2017-10-01 08:46:52";"Вставлена";"Работа";"0:00:00";"0:00:24";"0:00:00";"0:00:00";"0:00:24";"Водитель";"Один водитель";"0.00 км";
"181";"2017-10-01 08:47:16";"Вставлена";"Вождение";"1:41:28";"0:00:00";"0:00:00";"0:00:00";"1:41:28";"Водитель";"Один водитель";"116 км";
"182";"2017-10-01 10:28:44";"Вставлена";"Работа";"0:00:00";"0:02:07";"0:00:00";"0:00:00";"0:02:07";"Водитель";"Один водитель";"0.00 км";
"183";"2017-10-01 10:30:51";"Вставлена";"Вождение";"0:12:35";"0:00:00";"0:00:00";"0:00:00";"0:12:35";"Водитель";"Один водитель";"2.82 км";
"184";"2017-10-01 10:43:26";"Вставлена";"Работа";"0:00:00";"0:00:09";"0:00:00";"0:00:00";"0:00:09";"Водитель";"Один водитель";"0.00 км";
"185";"2017-10-01 10:43:35";"Вставлена";"Вождение";"1:40:37";"0:00:00";"0:00:00";"0:00:00";"1:40:37";"Водитель";"Один водитель";"116 км";
"186";"2017-10-01 12:24:12";"Вставлена";"Работа";"0:00:00";"0:00:41";"0:00:00";"0:00:00";"0:00:41";"Водитель";"Один водитель";"0.00 км";
"187";"2017-10-01 12:24:53";"Вставлена";"Вождение";"0:14:03";"0:00:00";"0:00:00";"0:00:00";"0:14:03";"Водитель";"Один водитель";"2.82 км";
"188";"2017-10-01 12:38:56";"Вставлена";"Работа";"0:00:00";"0:00:51";"0:00:00";"0:00:00";"0:00:51";"Водитель";"Один водитель";"0.00 км";
"189";"2017-10-01 12:39:47";"Вставлена";"Вождение";"1:41:06";"0:00:00";"0:00:00";"0:00:00";"1:41:06";"Водитель";"Один водитель";"116 км";
"190";"2017-10-01 14:20:53";"Вставлена";"Работа";"0:00:00";"0:00:21";"0:00:00";"0:00:00";"0:00:21";"Водитель";"Один водитель";"0.00 км";
"191";"2017-10-01 14:21:14";"Вставлена";"Вождение";"0:14:23";"0:00:00";"0:00:00";"0:00:00";"0:14:23";"Водитель";"Один водитель";"2.82 км";
"192";"2017-10-01 14:35:37";"Вставлена";"Работа";"0:00:00";"0:00:32";"0:00:00";"0:00:00";"0:00:32";"Водитель";"Один водитель";"0.00 км";
"193";"2017-10-01 14:36:09";"Вставлена";"Вождение";"1:41:20";"0:00:00";"0:00:00";"0:00:00";"1:41:20";"Водитель";"Один водитель";"116 км";
"194";"2017-10-01 16:17:29";"Вставлена";"Работа";"0:00:00";"0:00:12";"0:00:00";"0:00:00";"0:00:12";"Водитель";"Один водитель";"0.00 км";
"195";"2017-10-01 16:17:41";"Вставлена";"Вождение";"0:14:31";"0:00:00";"0:00:00";"0:00:00";"0:14:31";"Водитель";"Один водитель";"2.82 км";
"196";"2017-10-01 16:32:12";"Вставлена";"Работа";"0:00:00";"0:00:20";"0:00:00";"0:00:00";"0:00:20";"Водитель";"Один водитель";"0.00 км";
"197";"2017-10-01 16:32:32";"Вставлена";"Вождение";"1:41:30";"0:00:00";"0:00:00";"0:00:00";"1:41:30";"Водитель";"Один водитель";"116 км";
"198";"2017-10-01 18:14:02";"Вставлена";"Работа";"0:00:00";"0:00:02";"0:00:00";"0:00:00";"0:00:02";"Водитель";"Один водитель";"0.00 км";
"199";"2017-10-01 18:14:04";"Вставлена";"Вождение";"0:14:42";"0:00:00";"0:00:00";"0:00:00";"0:14:42";"Водитель";"Один водитель";"2.82 км";
"200";"2017-10-01 18:28:46";"Вставлена";"Работа";"0:00:00";"0:00:10";"0:00:00";"0:00:00";"0:00:10";"Водитель";"Один водитель";"0.00 км";
"201";"2017-10-01 18:28:56";"Вставлена";"Вождение";"1:41:44";"0:00:00";"0:00:00";"0:00:00";"1:41:44";"Водитель";"Один водитель";"116 км";
"202";"2017-10-01 20:10:40";"Вставлена";"Работа";"0:00:00";"0:01:04";"0:00:00";"0:00:00";"0:01:04";"Водитель";"Один водитель";"0.00 км";
"203";"2017-10-01 20:11:44";"Вставлена";"Вождение";"0:12:41";"0:00:00";"0:00:00";"0:00:00";"0:12:41";"Водитель";"Один водитель";"2.82 км";
"204";"2017-10-01 20:24:25";"Вставлена";"Работа";"0:00:00";"0:00:49";"0:00:00";"0:00:00";"0:00:49";"Водитель";"Один водитель";"0.00 км";
"205";"2017-10-01 20:25:14";"Вставлена";"Вождение";"1:41:26";"0:00:00";"0:00:00";"0:00:00";"1:41:26";"Водитель";"Один водитель";"116 км";
"206";"2017-10-01 22:06:40";"Вставлена";"Работа";"0:00:00";"0:02:07";"0:00:00";"0:00:00";"0:02:07";"Водитель";"Один водитель";"0.00 км";
"207";"2017-10-01 22:08:47";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"208";"2017-10-01 22:21:23";"Вставлена";"Работа";"0:00:00";"0:00:05";"0:00:00";"0:00:00";"0:00:05";"Водитель";"Один водитель";"0.00 км";
"209";"2017-10-01 22:21:28";"Вставлена";"Вождение";"1:41:05";"0:00:00";"0:00:00";"0:00:00";"1:41:05";"Водитель";"Один водитель";"116 км";
"210";"2017-10-02 00:02:33";"Вставлена";"Работа";"0:00:00";"0:00:13";"0:00:00";"0:00:00";"0:00:13";"Водитель";"Один водитель";"0.00 км";
"211";"2017-10-02 00:02:46";"Вставлена";"Вождение";"0:14:36";"0:00:00";"0:00:00";"0:00:00";"0:14:36";"Водитель";"Один водитель";"2.82 км";
"212";"2017-10-02 00:17:22";"Вставлена";"Работа";"0:00:00";"0:00:13";"0:00:00";"0:00:00";"0:00:13";"Водитель";"Один водитель";"0.00 км";
"213";"2017-10-02 00:17:35";"Вставлена";"Вождение";"1:40:48";"0:00:00";"0:00:00";"0:00:00";"1:40:48";"Водитель";"Один водитель";"116 км";
"214";"2017-10-02 01:58:23";"Вставлена";"Работа";"0:00:00";"0:00:30";"0:00:00";"0:00:00";"0:00:30";"Водитель";"Один водитель";"0.00 км";
"215";"2017-10-02 01:58:53";"Вставлена";"Вождение";"0:14:14";"0:00:00";"0:00:00";"0:00:00";"0:14:14";"Водитель";"Один водитель";"2.82 км";
"216";"2017-10-02 02:13:07";"Вставлена";"Работа";"0:00:00";"0:00:38";"0:00:00";"0:00:00";"0:00:38";"Водитель";"Один водитель";"0.00 км";
"217";"2017-10-02 02:13:45";"Вставлена";"Вождение";"1:41:25";"0:00:00";"0:00:00";"0:00:00";"1:41:25";"Водитель";"Один водитель";"116 км";
"218";"2017-10-02 03:55:10";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"219";"2017-10-02 03:57:16";"Вставлена";"Вождение";"0:12:35";"0:00:00";"0:00:00";"0:00:00";"0:12:35";"Водитель";"Один водитель";"2.82 км";
"220";"2017-10-02 04:09:51";"Вставлена";"Работа";"0:00:00";"0:00:08";"0:00:00";"0:00:00";"0:00:08";"Водитель";"Один водитель";"0.00 км";
"221";"2017-10-02 04:09:59";"Вставлена";"Вождение";"1:40:42";"0:00:00";"0:00:00";"0:00:00";"1:40:42";"Водитель";"Один водитель";"116 км";
"222";"2017-10-02 05:50:41";"Вставлена";"Работа";"0:00:00";"0:00:38";"0:00:00";"0:00:00";"0:00:38";"Водитель";"Один водитель";"0.00 км";
"223";"2017-10-02 05:51:19";"Вставлена";"Вождение";"0:14:03";"0:00:00";"0:00:00";"0:00:00";"0:14:03";"Водитель";"Один водитель";"2.82 км";
"224";"2017-10-02 06:05:22";"Вставлена";"Работа";"0:00:00";"0:00:50";"0:00:00";"0:00:00";"0:00:50";"Водитель";"Один водитель";"0.00 км";
"225";"2017-10-02 06:06:12";"Вставлена";"Вождение";"1:41:06";"0:00:00";"0:00:00";"0:00:00";"1:41:06";"Водитель";"Один водитель";"116 км";
"226";"2017-10-02 07:47:18";"Вставлена";"Работа";"0:00:00";"0:00:25";"0:00:00";"0:00:00";"0:00:25";"Водитель";"Один водитель";"0.00 км";
"227";"2017-10-02 07:47:43";"Вставлена";"Вождение";"0:14:17";"0:00:00";"0:00:00";"0:00:00";"0:14:17";"Водитель";"Один водитель";"2.82 км";
"228";"2017-10-02 08:02:00";"Вставлена";"Работа";"0:00:00";"0:00:39";"0:00:00";"0:00:00";"0:00:39";"Водитель";"Один водитель";"0.00 км";
"229";"2017-10-02 08:02:39";"Вставлена";"Вождение";"1:41:12";"0:00:00";"0:00:00";"0:00:00";"1:41:12";"Водитель";"Один водитель";"116 км";
"230";"2017-10-02 09:43:51";"Вставлена";"Работа";"0:00:00";"0:00:05";"0:00:00";"0:00:00";"0:00:05";"Водитель";"Один водитель";"0.00 км";
"231";"2017-10-02 09:43:56";"Вставлена";"Вождение";"0:14:37";"0:00:00";"0:00:00";"0:00:00";"0:14:37";"Водитель";"Один водитель";"2.82 км";
"232";"2017-10-02 09:58:33";"Вставлена";"Работа";"0:00:00";"0:00:17";"0:00:00";"0:00:00";"0:00:17";"Водитель";"Один водитель";"0.00 км";
"233";"2017-10-02 09:58:50";"Вставлена";"Вождение";"1:41:35";"0:00:00";"0:00:00";"0:00:00";"1:41:35";"Водитель";"Один водитель";"116 км";
"234";"2017-10-02 11:40:25";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"235";"2017-10-02 11:42:31";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"236";"2017-10-02 11:55:07";"Вставлена";"Работа";"0:00:00";"0:02:05";"0:00:00";"0:00:00";"0:02:05";"Водитель";"Один водитель";"0.00 км";
"237";"2017-10-02 11:57:12";"Вставлена";"Вождение";"1:38:45";"0:00:00";"0:00:00";"0:00:00";"1:38:45";"Водитель";"Один водитель";"116 км";
"238";"2017-10-02 13:35:57";"Вставлена";"Работа";"0:00:00";"0:00:35";"0:00:00";"0:00:00";"0:00:35";"Водитель";"Один водитель";"0.00 км";
"239";"2017-10-02 13:36:32";"Вставлена";"Вождение";"0:14:05";"0:00:00";"0:00:00";"0:00:00";"0:14:05";"Водитель";"Один водитель";"2.82 км";
"240";"2017-10-02 13:50:37";"Вставлена";"Работа";"0:00:00";"0:00:46";"0:00:00";"0:00:00";"0:00:46";"Водитель";"Один водитель";"0.00 км";
"241";"2017-10-02 13:51:23";"Вставлена";"Вождение";"1:41:05";"0:00:00";"0:00:00";"0:00:00";"1:41:05";"Водитель";"Один водитель";"116 км";
"242";"2017-10-02 15:32:28";"Вставлена";"Работа";"0:00:00";"0:00:18";"0:00:00";"0:00:00";"0:00:18";"Водитель";"Один водитель";"0.00 км";
"243";"2017-10-02 15:32:46";"Вставлена";"Вождение";"0:14:25";"0:00:00";"0:00:00";"0:00:00";"0:14:25";"Водитель";"Один водитель";"2.82 км";
"244";"2017-10-02 15:47:11";"Вставлена";"Работа";"0:00:00";"0:00:28";"0:00:00";"0:00:00";"0:00:28";"Водитель";"Один водитель";"0.00 км";
"245";"2017-10-02 15:47:39";"Вставлена";"Вождение";"1:41:26";"0:00:00";"0:00:00";"0:00:00";"1:41:26";"Водитель";"Один водитель";"116 км";
"246";"2017-10-02 17:29:05";"Вставлена";"Работа";"0:00:00";"0:02:07";"0:00:00";"0:00:00";"0:02:07";"Водитель";"Один водитель";"0.00 км";
"247";"2017-10-02 17:31:12";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"248";"2017-10-02 17:43:48";"Вставлена";"Работа";"0:00:00";"0:00:15";"0:00:00";"0:00:00";"0:00:15";"Водитель";"Один водитель";"0.00 км";
"249";"2017-10-02 17:44:03";"Вставлена";"Вождение";"1:41:36";"0:00:00";"0:00:00";"0:00:00";"1:41:36";"Водитель";"Один водитель";"116 км";
"250";"2017-10-02 19:25:39";"Вставлена";"Работа";"0:00:00";"0:02:05";"0:00:00";"0:00:00";"0:02:05";"Водитель";"Один водитель";"0.00 км";
"251";"2017-10-02 19:27:44";"Вставлена";"Вождение";"0:12:40";"0:00:00";"0:00:00";"0:00:00";"0:12:40";"Водитель";"Один водитель";"2.82 км";
"252";"2017-10-02 19:40:24";"Вставлена";"Работа";"0:00:00";"0:00:08";"0:00:00";"0:00:00";"0:00:08";"Водитель";"Один водитель";"0.00 км";
"253";"2017-10-02 19:40:32";"Вставлена";"Вождение";"1:40:58";"0:00:00";"0:00:00";"0:00:00";"1:40:58";"Водитель";"Один водитель";"116 км";
"254";"2017-10-02 21:21:30";"Вставлена";"Работа";"0:00:00";"0:00:29";"0:00:00";"0:00:00";"0:00:29";"Водитель";"Один водитель";"0.00 км";
"255";"2017-10-02 21:21:59";"Вставлена";"Вождение";"0:14:18";"0:00:00";"0:00:00";"0:00:00";"0:14:18";"Водитель";"Один водитель";"2.82 км";
"256";"2017-10-02 21:36:17";"Вставлена";"Работа";"0:00:00";"0:00:36";"0:00:00";"0:00:00";"0:00:36";"Водитель";"Один водитель";"0.00 км";
"257";"2017-10-02 21:36:53";"Вставлена";"Вождение";"1:41:34";"0:00:00";"0:00:00";"0:00:00";"1:41:34";"Водитель";"Один водитель";"116 км";
"258";"2017-10-02 23:18:27";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"259";"2017-10-02 23:19:30";"Вставлена";"Вождение";"0:12:37";"0:00:00";"0:00:00";"0:00:00";"0:12:37";"Водитель";"Один водитель";"2.82 км";
"260";"2017-10-02 23:32:07";"Вставлена";"Работа";"0:00:00";"0:00:53";"0:00:00";"0:00:00";"0:00:53";"Водитель";"Один водитель";"0.00 км";
"261";"2017-10-02 23:33:00";"Вставлена";"Вождение";"1:41:13";"0:00:00";"0:00:00";"0:00:00";"1:41:13";"Водитель";"Один водитель";"116 км";
"262";"2017-10-03 01:14:13";"Вставлена";"Работа";"0:00:00";"0:00:08";"0:00:00";"0:00:00";"0:00:08";"Водитель";"Один водитель";"0.00 км";
"263";"2017-10-03 01:14:21";"Вставлена";"Вождение";"0:14:34";"0:00:00";"0:00:00";"0:00:00";"0:14:34";"Водитель";"Один водитель";"2.82 км";
"264";"2017-10-03 01:28:55";"Вставлена";"Работа";"0:00:00";"0:00:21";"0:00:00";"0:00:00";"0:00:21";"Водитель";"Один водитель";"0.00 км";
"265";"2017-10-03 01:29:16";"Вставлена";"Вождение";"1:41:48";"0:00:00";"0:00:00";"0:00:00";"1:41:48";"Водитель";"Один водитель";"116 км";
"266";"2017-10-03 03:11:04";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"267";"2017-10-03 03:12:07";"Вставлена";"Вождение";"0:12:38";"0:00:00";"0:00:00";"0:00:00";"0:12:38";"Водитель";"Один водитель";"2.82 км";
"268";"2017-10-03 03:24:45";"Вставлена";"Работа";"0:00:00";"0:00:53";"0:00:00";"0:00:00";"0:00:53";"Водитель";"Один водитель";"0.00 км";
"269";"2017-10-03 03:25:38";"Вставлена";"Вождение";"1:41:09";"0:00:00";"0:00:00";"0:00:00";"1:41:09";"Водитель";"Один водитель";"116 км";
"270";"2017-10-03 05:06:47";"Вставлена";"Работа";"0:00:00";"0:00:18";"0:00:00";"0:00:00";"0:00:18";"Водитель";"Один водитель";"0.00 км";
"271";"2017-10-03 05:07:05";"Вставлена";"Вождение";"0:14:23";"0:00:00";"0:00:00";"0:00:00";"0:14:23";"Водитель";"Один водитель";"2.82 км";
"272";"2017-10-03 05:21:28";"Вставлена";"Работа";"0:00:00";"0:00:30";"0:00:00";"0:00:00";"0:00:30";"Водитель";"Один водитель";"0.00 км";
"273";"2017-10-03 05:21:58";"Вставлена";"Вождение";"1:41:27";"0:00:00";"0:00:00";"0:00:00";"1:41:27";"Водитель";"Один водитель";"116 км";
"274";"2017-10-03 07:03:25";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"275";"2017-10-03 07:05:31";"Вставлена";"Вождение";"0:12:37";"0:00:00";"0:00:00";"0:00:00";"0:12:37";"Водитель";"Один водитель";"2.82 км";
"276";"2017-10-03 07:18:08";"Вставлена";"Работа";"0:00:00";"0:00:05";"0:00:00";"0:00:00";"0:00:05";"Водитель";"Один водитель";"0.00 км";
"277";"2017-10-03 07:18:13";"Вставлена";"Вождение";"1:40:49";"0:00:00";"0:00:00";"0:00:00";"1:40:49";"Водитель";"Один водитель";"116 км";
"278";"2017-10-03 08:59:02";"Вставлена";"Работа";"0:00:00";"0:00:39";"0:00:00";"0:00:00";"0:00:39";"Водитель";"Один водитель";"0.00 км";
"279";"2017-10-03 08:59:41";"Вставлена";"Вождение";"0:14:02";"0:00:00";"0:00:00";"0:00:00";"0:14:02";"Водитель";"Один водитель";"2.82 км";
"280";"2017-10-03 09:13:43";"Вставлена";"Работа";"0:00:00";"0:00:53";"0:00:00";"0:00:00";"0:00:53";"Водитель";"Один водитель";"0.00 км";
"281";"2017-10-03 09:14:36";"Вставлена";"Вождение";"1:41:00";"0:00:00";"0:00:00";"0:00:00";"1:41:00";"Водитель";"Один водитель";"116 км";
"282";"2017-10-03 10:55:36";"Вставлена";"Работа";"0:00:00";"0:00:20";"0:00:00";"0:00:00";"0:00:20";"Водитель";"Один водитель";"0.00 км";
"283";"2017-10-03 10:55:56";"Вставлена";"Вождение";"0:14:22";"0:00:00";"0:00:00";"0:00:00";"0:14:22";"Водитель";"Один водитель";"2.82 км";
"284";"2017-10-03 11:10:18";"Вставлена";"Работа";"0:00:00";"0:00:31";"0:00:00";"0:00:00";"0:00:31";"Водитель";"Один водитель";"0.00 км";
"285";"2017-10-03 11:10:49";"Вставлена";"Вождение";"1:41:29";"0:00:00";"0:00:00";"0:00:00";"1:41:29";"Водитель";"Один водитель";"116 км";
"286";"2017-10-03 12:52:18";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"287";"2017-10-03 12:54:24";"Вставлена";"Вождение";"0:12:37";"0:00:00";"0:00:00";"0:00:00";"0:12:37";"Водитель";"Один водитель";"2.82 км";
"288";"2017-10-03 13:07:01";"Вставлена";"Работа";"0:00:00";"0:00:04";"0:00:00";"0:00:00";"0:00:04";"Водитель";"Один водитель";"0.00 км";
"289";"2017-10-03 13:07:05";"Вставлена";"Вождение";"1:40:48";"0:00:00";"0:00:00";"0:00:00";"1:40:48";"Водитель";"Один водитель";"116 км";
"290";"2017-10-03 14:47:53";"Вставлена";"Работа";"0:00:00";"0:00:30";"0:00:00";"0:00:00";"0:00:30";"Водитель";"Один водитель";"0.00 км";
"291";"2017-10-03 14:48:23";"Вставлена";"Вождение";"0:14:11";"0:00:00";"0:00:00";"0:00:00";"0:14:11";"Водитель";"Один водитель";"2.82 км";
"292";"2017-10-03 15:02:34";"Вставлена";"Работа";"0:00:00";"0:00:43";"0:00:00";"0:00:00";"0:00:43";"Водитель";"Один водитель";"0.00 км";
"293";"2017-10-03 15:03:17";"Вставлена";"Вождение";"1:41:20";"0:00:00";"0:00:00";"0:00:00";"1:41:20";"Водитель";"Один водитель";"116 км";
"294";"2017-10-03 16:44:37";"Вставлена";"Работа";"0:00:00";"0:00:01";"0:00:00";"0:00:00";"0:00:01";"Водитель";"Один водитель";"0.00 км";
"295";"2017-10-03 16:44:38";"Вставлена";"Вождение";"0:14:43";"0:00:00";"0:00:00";"0:00:00";"0:14:43";"Водитель";"Один водитель";"2.82 км";
"296";"2017-10-03 16:59:21";"Вставлена";"Работа";"0:00:00";"0:00:09";"0:00:00";"0:00:00";"0:00:09";"Водитель";"Один водитель";"0.00 км";
"297";"2017-10-03 16:59:30";"Вставлена";"Вождение";"1:40:41";"0:00:00";"0:00:00";"0:00:00";"1:40:41";"Водитель";"Один водитель";"116 км";
"298";"2017-10-03 18:40:11";"Вставлена";"Работа";"0:00:00";"0:00:40";"0:00:00";"0:00:00";"0:00:40";"Водитель";"Один водитель";"0.00 км";
"299";"2017-10-03 18:40:51";"Вставлена";"Вождение";"0:14:02";"0:00:00";"0:00:00";"0:00:00";"0:14:02";"Водитель";"Один водитель";"2.82 км";
"300";"2017-10-03 18:54:53";"Вставлена";"Работа";"0:00:00";"0:00:53";"0:00:00";"0:00:00";"0:00:53";"Водитель";"Один водитель";"0.00 км";
"301";"2017-10-03 18:55:46";"Вставлена";"Вождение";"1:03:12";"0:00:00";"0:00:00";"0:00:00";"1:03:12";"Водитель";"Один водитель";"69 км";
"302";"2017-10-03 19:58:58";"Вставлена";"Работа";"0:00:00";"0:00:00";"0:00:00";"0:00:00";"0:00:00";"Водитель";"Один водитель";"0.00 км";
"----";"2017-09-27 19:29:31";"----";"----";"142:31:42";"1:46:01";"0:00:00";"0:11:44";"144:17:43";"----";"----";"8852 км";
