"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"37";"2017-09-28 11:01:44";"Вставлена";"Вождение";"1:40:38";"0:00:00";"0:00:00";"0:00:00";"1:40:38";"Водитель";"Один водитель";"116 км";
"38";"2017-09-28 12:42:22";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"39";"2017-09-28 12:43:04";"Вставлена";"Вождение";"0:14:01";"0:00:00";"0:00:00";"0:00:00";"0:14:01";"Водитель";"Один водитель";"2.82 км";
"40";"2017-09-28 12:57:05";"Вставлена";"Работа";"0:00:00";"0:00:55";"0:00:00";"0:00:00";"0:00:55";"Водитель";"Один водитель";"0.00 км";
"41";"2017-09-28 12:58:00";"Вставлена";"Вождение";"1:40:53";"0:00:00";"0:00:00";"0:00:00";"1:40:53";"Водитель";"Один водитель";"116 км";
"42";"2017-09-28 14:38:53";"Вставлена";"Работа";"0:00:00";"0:00:25";"0:00:00";"0:00:00";"0:00:25";"Водитель";"Один водитель";"0.00 км";
"43";"2017-09-28 14:39:18";"Вставлена";"Вождение";"0:14:17";"0:00:00";"0:00:00";"0:00:00";"0:14:17";"Водитель";"Один водитель";"2.82 км";
"44";"2017-09-28 14:53:35";"Вставлена";"Работа";"0:00:00";"0:00:33";"0:00:00";"0:00:00";"0:00:33";"Водитель";"Один водитель";"0.00 км";
"45";"2017-09-28 14:54:08";"Вставлена";"Вождение";"1:41:17";"0:00:00";"0:00:00";"0:00:00";"1:41:17";"Водитель";"Один водитель";"116 км";
"46";"2017-09-28 16:35:25";"Вставлена";"Работа";"0:00:00";"0:00:03";"0:00:00";"0:00:00";"0:00:03";"Водитель";"Один водитель";"0.00 км";
"47";"2017-09-28 16:35:28";"Вставлена";"Вождение";"0:14:39";"0:00:00";"0:00:00";"0:00:00";"0:14:39";"Водитель";"Один водитель";"2.82 км";
"48";"2017-09-28 16:50:07";"Вставлена";"Работа";"0:00:00";"0:00:15";"0:00:00";"0:00:00";"0:00:15";"Водитель";"Один водитель";"0.00 км";
"49";"2017-09-28 16:50:22";"Вставлена";"Вождение";"1:41:31";"0:00:00";"0:00:00";"0:00:00";"1:41:31";"Водитель";"Один водитель";"116 км";
"50";"2017-09-28 18:31:53";"Вставлена";"Работа";"0:00:00";"0:02:05";"0:00:00";"0:00:00";"0:02:05";"Водитель";"Один водитель";"0.00 км";
"51";"2017-09-28 18:33:58";"Вставлена";"Вождение";"0:12:38";"0:00:00";"0:00:00";"0:00:00";"0:12:38";"Водитель";"Один водитель";"2.82 км";
"52";"2017-09-28 18:46:36";"Вставлена";"Работа";"0:00:00";"0:00:07";"0:00:00";"0:00:00";"0:00:07";"Водитель";"Один водитель";"0.00 км";
"53";"2017-09-28 18:46:43";"Вставлена";"Вождение";"1:40:53";"0:00:00";"0:00:00";"0:00:00";"1:40:53";"Водитель";"Один водитель";"116 км";
"54";"2017-09-28 20:27:36";"Вставлена";"Работа";"0:00:00";"0:00:31";"0:00:00";"0:00:00";"0:00:31";"Водитель";"Один водитель";"0.00 км";
"55";"2017-09-28 20:28:07";"Вставлена";"Вождение";"0:14:17";"0:00:00";"0:00:00";"0:00:00";"0:14:17";"Водитель";"Один водитель";"2.82 км";
"56";"2017-09-28 20:42:24";"Вставлена";"Работа";"0:00:00";"0:00:32";"0:00:00";"0:00:00";"0:00:32";"Водитель";"Один водитель";"0.00 км";
"57";"2017-09-28 20:42:56";"Вставлена";"Вождение";"1:40:39";"0:00:00";"0:00:00";"0:00:00";"1:40:39";"Водитель";"Один водитель";"116 км";
"58";"2017-09-28 22:23:35";"Вставлена";"Работа";"0:00:00";"0:00:38";"0:00:00";"0:00:00";"0:00:38";"Водитель";"Один водитель";"0.00 км";
"59";"2017-09-28 22:24:13";"Вставлена";"Вождение";"0:14:08";"0:00:00";"0:00:00";"0:00:00";"0:14:08";"Водитель";"Один водитель";"2.82 км";
"60";"2017-09-28 22:38:21";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"61";"2017-09-28 22:39:03";"Вставлена";"Вождение";"1:41:23";"0:00:00";"0:00:00";"0:00:00";"1:41:23";"Водитель";"Один водитель";"116 км";
"62";"2017-09-29 00:20:26";"Вставлена";"Работа";"0:00:00";"0:00:01";"0:00:00";"0:00:00";"0:00:01";"Водитель";"Один водитель";"0.00 км";
"63";"2017-09-29 00:20:27";"Вставлена";"Вождение";"0:14:41";"0:00:00";"0:00:00";"0:00:00";"0:14:41";"Водитель";"Один водитель";"2.82 км";
"64";"2017-09-29 00:35:08";"Вставлена";"Работа";"0:00:00";"0:00:14";"0:00:00";"0:00:00";"0:00:14";"Водитель";"Один водитель";"0.00 км";
"65";"2017-09-29 00:35:22";"Вставлена";"Вождение";"1:41:35";"0:00:00";"0:00:00";"0:00:00";"1:41:35";"Водитель";"Один водитель";"116 км";
"66";"2017-09-29 02:16:57";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"67";"2017-09-29 02:19:03";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"68";"2017-09-29 02:31:39";"Вставлена";"Работа";"0:00:00";"0:00:04";"0:00:00";"0:00:00";"0:00:04";"Водитель";"Один водитель";"0.00 км";
"69";"2017-09-29 02:31:43";"Вставлена";"Вождение";"1:40:48";"0:00:00";"0:00:00";"0:00:00";"1:40:48";"Водитель";"Один водитель";"116 км";
"70";"2017-09-29 04:12:31";"Вставлена";"Работа";"0:00:00";"0:00:30";"0:00:00";"0:00:00";"0:00:30";"Водитель";"Один водитель";"0.00 км";
"71";"2017-09-29 04:13:01";"Вставлена";"Вождение";"0:14:12";"0:00:00";"0:00:00";"0:00:00";"0:14:12";"Водитель";"Один водитель";"2.82 км";
"72";"2017-09-29 04:27:13";"Вставлена";"Работа";"0:00:00";"0:00:43";"0:00:00";"0:00:00";"0:00:43";"Водитель";"Один водитель";"0.00 км";
"73";"2017-09-29 04:27:56";"Вставлена";"Вождение";"1:41:02";"0:00:00";"0:00:00";"0:00:00";"1:41:02";"Водитель";"Один водитель";"116 км";
"74";"2017-09-29 06:08:58";"Вставлена";"Работа";"0:00:00";"0:00:24";"0:00:00";"0:00:00";"0:00:24";"Водитель";"Один водитель";"0.00 км";
"75";"2017-09-29 06:09:22";"Вставлена";"Вождение";"0:14:20";"0:00:00";"0:00:00";"0:00:00";"0:14:20";"Водитель";"Один водитель";"2.82 км";
